timestamp,x,y,theta,x_min,x_max,y_min,y_max,dist_to_wall,decision_v,decision_w
1777456079.8519769,294.16,128.76,-1.067,-2.47,423.28,-50.19,148.15,204.338,8.0,0.0
1777456079.8568604,294.16,128.76,-1.067,-2.47,423.28,-50.19,148.15,204.338,8.0,0.0
1777456079.8570218,294.16,128.76,-1.067,-2.47,423.28,-50.19,148.15,204.338,8.0,0.0
1777456080.4347253,287.8,124.18,-0.749,-2.47,423.28,-50.19,148.15,184.988,8.0,0.0
1777456080.4350731,287.8,124.18,-0.749,-2.47,423.28,-50.19,148.15,184.988,8.0,0.0
1777456080.4409237,287.8,124.18,-0.749,-2.47,423.28,-50.19,148.15,184.988,8.0,0.0
1777456080.4410489,287.8,124.18,-0.749,-2.47,423.28,-50.19,148.15,184.988,8.0,0.0
1777456081.6071799,281.28,119.82,-0.829,-2.47,423.28,-50.19,148.15,210.179,8.0,0.0
1777456081.607484,281.28,119.82,-0.829,-2.47,423.28,-50.19,148.15,210.179,8.0,0.0
1777456081.6125643,281.28,119.82,-0.829,-2.47,423.28,-50.19,148.15,210.179,8.0,0.0
1777456081.6127737,281.28,119.82,-0.829,-2.47,423.28,-50.19,148.15,210.179,8.0,0.0
1777456086.2908053,292.0,71.47,1.279,-2.47,440.11,-50.19,172.92,105.928,8.0,0.0
1777456086.291002,292.0,71.47,1.279,-2.47,440.11,-50.19,172.92,105.928,8.0,0.0
1777456086.2961001,292.0,71.47,1.279,-2.47,440.11,-50.19,172.92,105.928,8.0,0.0
1777456086.2962866,292.0,71.47,1.279,-2.47,440.11,-50.19,172.92,105.928,8.0,0.0
1777456086.8774168,300.97,70.97,1.658,-2.47,440.11,-50.19,172.92,102.339,8.0,0.0
1777456086.8776119,300.97,70.97,1.658,-2.47,440.11,-50.19,172.92,102.339,8.0,0.0
1777456086.883009,300.97,70.97,1.658,-2.47,440.11,-50.19,172.92,102.339,8.0,0.0
1777456086.88321,300.97,70.97,1.658,-2.47,440.11,-50.19,172.92,102.339,8.0,0.0
1777456087.458716,309.0,73.86,2.015,-2.47,440.11,-50.19,172.92,109.707,8.0,0.0
1777456087.4589128,309.0,73.86,2.015,-2.47,440.11,-50.19,172.92,109.707,8.0,0.0
1777456087.4645462,309.0,73.86,2.015,-2.47,440.11,-50.19,172.92,109.707,8.0,0.0
1777456087.4647417,309.0,73.86,2.015,-2.47,440.11,-50.19,172.92,109.707,8.0,0.0
1777456089.2146158,319.83,96.5,2.906,-2.47,440.11,-50.19,172.92,327.394,8.0,0.0
1777456089.2148297,319.83,96.5,2.906,-2.47,440.11,-50.19,172.92,327.394,8.0,0.0
1777456089.220545,319.83,96.5,2.906,-2.47,440.11,-50.19,172.92,327.394,8.0,0.0
1777456089.2206566,319.83,96.5,2.906,-2.47,440.11,-50.19,172.92,327.394,8.0,0.0
1777456092.7259796,282.49,132.07,-1.396,-2.47,423.28,-50.19,148.15,185.08,8.0,0.0
1777456092.7264273,282.49,132.07,-1.396,-2.47,423.28,-50.19,148.15,185.08,8.0,0.0
1777456092.7337182,282.49,132.07,-1.396,-2.47,423.28,-50.19,148.15,185.08,8.0,0.0
1777456092.7338293,282.49,132.07,-1.396,-2.47,423.28,-50.19,148.15,185.08,8.0,0.0
