timestamp,x,y,yaw
1715380582.6587727,0.823043,1.259659,-1.200757
1715380582.707864,0.811926,1.247102,-1.211738
1715380582.7086234,0.811926,1.247102,-1.211738
1715380582.7602997,0.815609,1.251013,-1.219665
1715380582.7610703,0.815609,1.251013,-1.219665
1715380582.8444147,0.823043,1.259659,-1.237595
1715380582.8452399,0.823043,1.259659,-1.237595
1715380582.880539,0.815258,1.250855,-1.241188
1715380582.881401,0.815258,1.250855,-1.241188
1715380582.9083793,0.820115,1.256307,-1.242637
1715380582.9097939,0.820115,1.256307,-1.242637
1715380582.9581432,0.815964,1.251422,-1.244107
1715380582.9589016,0.815964,1.251422,-1.244107
1715380583.0079436,0.809568,1.244499,-1.246179
1715380583.008829,0.809568,1.244499,-1.246179
1715380583.057777,0.815333,1.250843,-1.247354
1715380583.059157,0.815333,1.250843,-1.247354
1715380583.1515296,0.823043,1.259659,-1.248567
1715380583.1526608,0.823043,1.259659,-1.248567
1715380583.1757503,0.818575,1.254570,-1.248801
1715380583.1768208,0.818575,1.254570,-1.248801
1715380583.2080047,0.816720,1.253020,-1.249800
1715380583.2091424,0.816720,1.253020,-1.249800
1715380583.2582943,0.822899,1.259627,-1.250289
1715380583.259346,0.822899,1.259627,-1.250289
1715380583.30781,0.813919,1.249473,-1.251179
1715380583.3086078,0.813919,1.249473,-1.251179
1715380583.3579876,0.820115,1.256307,-1.250629
1715380583.359119,0.820115,1.256307,-1.250629
1715380583.40817,0.818441,1.254514,-1.251144
1715380583.4093049,0.818441,1.254514,-1.251144
1715380583.47618,0.823043,1.259659,-1.250284
1715380583.4773018,0.823043,1.259659,-1.250284
1715380583.5082376,0.813241,1.248458,-1.251523
1715380583.5089533,0.813241,1.248458,-1.251523
1715380583.55859,0.823043,1.259659,-1.250744
1715380583.5609934,0.823043,1.259659,-1.250744
1715380583.6087396,0.818575,1.254570,-1.250542
1715380583.6097813,0.818575,1.254570,-1.250542
1715380583.6636775,0.809568,1.244499,-1.251327
1715380583.6645286,0.809568,1.244499,-1.251327
1715380583.7455263,0.818575,1.254570,-1.252307
1715380583.7463994,0.818575,1.254570,-1.252307
1715380583.7766404,0.823043,1.259659,-1.251372
1715380583.778266,0.823043,1.259659,-1.251372
1715380583.80848,0.817582,1.253361,-1.251199
1715380583.8136709,0.817582,1.253361,-1.251199
1715380583.8588467,0.810210,1.245050,-1.251981
1715380583.8629293,0.810210,1.245050,-1.251981
1715380583.9100604,0.819897,1.256330,-1.252765
